Index,PDSI,Acres,LargeFire=1
557,1.7,150,1
558,1.7,168,1
559,-1.99,117.8,1
560,-1.99,304.3,1
561,-1.99,129.9,1
562,-2.42,3502.3,1
563,-2.42,395.7,1
564,2.63,1000,1
565,-1.87,2665.9,1
566,-1.87,389.9,1
567,-3.41,1325.9,1
568,-1.87,293.9,1
569,-1.87,10948,1
570,1.65,150,1
571,1.65,1588.5,1
572,2.3,20934,1
573,2.3,121.7,1
574,2.3,176.1,1
575,2.3,20368,1
576,-1.74,486.4,1
577,-1.74,2434.7,1
578,-1.74,476.3,1
579,-1.74,1360,1
580,-1.74,116.6,1
581,-3.73,1445.3,1
582,-1.74,2220.1,1
583,2.76,877.2,1
584,2.76,245,1
585,2.76,3340.6,1
586,2.76,4701,1
587,-3.73,725.5,1
588,-3.73,450.2,1
589,2.42,3743.9,1
590,2.42,2615.1,1
591,2.76,4156.6,1
592,2.76,310.1,1
593,2.76,137.7,1
594,2.76,137.3,1
595,2.76,2189.9,1
596,2.76,116.7,1
597,2.76,1850.1,1
598,2.42,554,1
599,4.59,176,1
600,4.59,202.7,1
601,-1.77,1736.1,1
602,-1.77,702.4,1
603,-1.77,1833.2,1
604,-1.77,707.2,1
605,-1.77,13972.9,1
606,-1.77,150.8,1
607,-1.77,1049.5,1
608,-1.77,6909.7,1
609,-3.98,338.8,1
610,-1.77,184,1
611,-1.77,1403.7,1
612,-3.98,1842.6,1
613,-3.98,198.4,1
614,-3.98,909,1
615,-1.77,121,1
616,2.43,129.3,1
617,2.98,161,1
618,2.98,6208.2,1
619,2.98,1479.9,1
620,2.43,1975.3,1
621,2.98,248.9,1
622,2.98,1820,1
623,2.98,198.8,1
624,2.98,1099.1,1
625,2.43,150.2,1
626,2.98,1415.7,1
627,2.98,18442.2,1
628,2.98,1346.7,1
629,2.98,688.9,1
630,2.43,747.3,1
631,2.43,517.2,1
632,2.98,487.2,1
633,2.43,128.5,1
634,2.98,394.5,1
635,2.98,168.6,1
636,4.24,249,1
637,3.83,161.9,1
638,4.24,124.9,1
639,3.83,639,1
640,3.83,450,1
641,-1.89,2302,1
642,-1.89,831.5,1
643,-1.89,911.9,1
644,-1.89,1553.8,1
645,-3.81,302.9,1
646,-1.89,405.9,1
647,-1.89,147.8,1
648,-1.89,287.1,1
649,-3.81,321.3,1
650,-1.89,1805.4,1
651,-1.89,507.8,1
652,-3.81,152.4,1
653,-1.89,703.9,1
654,-1.89,2839.5,1
655,2.84,2178,1
656,2.84,7156,1
657,-3.81,200,1
658,-3.81,512.1,1
659,2.24,475.9,1
660,2.84,5300,1
661,2.84,190,1
662,2.84,937.3,1
663,-3.81,550,1
664,2.24,357.2,1
665,2.84,1111.2,1
666,-3.81,2093,1
667,2.24,130.5,1
668,2.84,441.5,1
669,2.84,2749,1
670,2.84,1726.5,1
671,2.84,741.1,1
672,2.24,101.4,1
673,2.24,371,1
674,2.84,1247.8,1
675,2.84,194.1,1
676,2.84,495.1,1
677,3.07,2811.9,1
678,3.85,3574.8,1
679,4.19,127,1
680,4.19,418.8,1
681,4.19,169.7,1
682,4.19,445.5,1
683,4.19,4669.3,1
684,4.19,490.9,1
685,4.19,400.2,1
686,3.85,2290.5,1
687,-2.05,118.3,1
688,-2.05,158.6,1
689,-2.05,1266.8,1
690,-4.02,476.2,1
691,-2.05,1459.7,1
692,-2.05,109.9,1
693,-2.05,13863.2,1
694,-4.02,180,1
695,-2.05,22065.5,1
696,-4.02,139,1
697,-4.02,265.8,1
698,2.33,201.1,1
699,1.85,106691.9,1
700,2.33,1501,1
701,2.33,3303.8,1
702,1.85,1512,1
703,2.33,473.7,1
704,2.33,1707.7,1
705,2.33,2901.5,1
706,1.85,437.6,1
707,2.33,161.4,1
708,2.33,324.6,1
709,2.33,5714.8,1
710,2.33,3500.8,1
711,2.33,429.9,1
712,2.33,579.3,1
713,2.33,5739.6,1
714,1.85,638.5,1
715,2.33,133.2,1
716,2.33,6521.6,1
717,2.33,677.2,1
718,1.85,291.4,1
719,2.33,711.5,1
720,2.33,26109,1
721,2.33,34622.9,1
722,2.33,10129.7,1
723,2.33,5417.9,1
724,3.45,859.7,1
725,2.48,208.7,1
726,2.48,83323.2,1
727,3.6,210.3,1
728,3.45,591.2,1
729,2.48,450.7,1
730,2.48,2526.1,1
731,3.6,1299,1
732,3.6,404.3,1
733,3.6,133.9,1
734,3.45,143.8,1
